자전거번호,등록일시,등록일시2,고장구분,총이용시간,총이용거리
SPB-40402,2021-01-01,2021-07-13,기타 ,5972.0,711506.91
SPB-32280,2021-01-01,2021-08-12,체인,3236.0,425409.52
SPB-34462,2021-01-02,2021-06-10,기타 ,8221.0,956419.86
SPB-35692,2021-01-02,2021-05-19,단말기,3503.0,439067.44
SPB-53177,2021-01-02,2021-05-11,체인,1250.0,109193.77
SPB-53177,2021-01-02,2021-05-06,페달,14122.0,1569585.56
SPB-53177,2021-01-02,2021-09-10,기타 ,19359.0,2286996.2300000004
SPB-32058,2021-01-02,2021-06-25,안장,17371.0,2112691.47
SPB-32058,2021-01-02,2021-03-19,페달,4370.0,576368.1500000001
SPB-30448,2021-01-02,2021-10-02,타이어 ,2301.0,286094.98000000004
SPB-30448,2021-01-02,2021-10-02,타이어 ,2301.0,286094.98000000004
SPB-37024,2021-01-02,2021-08-03,체인,324.0,34486.43
SPB-50308,2021-01-02,2021-08-14,기타 ,10838.0,1377588.89
SPB-31528,2021-01-02,2021-03-29,체인,3259.0,358495.06
SPB-31528,2021-01-02,2021-07-20,기타 ,11962.0,1590210.22
SPB-31309,2021-01-02,2021-04-29,기타 ,6730.0,901584.48
SPB-33396,2021-01-02,2021-12-09,체인,437.0,59231.77
SPB-44092,2021-01-03,2021-12-09,타이어 ,11473.0,1381732.5
SPB-36684,2021-01-03,2021-07-05,타이어 ,528.0,64453.0
SPB-30394,2021-01-03,2021-09-25,기타 ,1341.0,179520.7
SPB-31162,2021-01-03,2021-09-11,기타 ,5118.0,603995.4400000001
SPB-41084,2021-01-03,2021-04-21,안장,74.0,11570.93
SPB-34197,2021-01-03,2021-01-16,기타 ,604.0,69677.59
SPB-35283,2021-01-04,2021-09-06,안장,2283.0,287755.75
SPB-30758,2021-01-04,2021-01-05,페달,165.0,23427.78
SPB-32797,2021-01-04,2021-09-25,기타 ,9649.0,1271472.16
SPB-40884,2021-01-04,2021-03-24,체인,1550.0,203658.47000000003
SPB-40884,2021-01-04,2021-03-24,체인,1550.0,203658.47000000003
SPB-40884,2021-01-04,2021-06-04,기타 ,5586.0,728153.13
SPB-40884,2021-01-04,2021-06-04,기타 ,5586.0,728153.13
SPB-37721,2021-01-04,2021-05-12,안장,2056.0,271390.36000000004
SPB-37721,2021-01-04,2021-05-12,안장,2056.0,271390.36000000004
SPB-31176,2021-01-04,2021-06-07,단말기,5820.0,789182.98
SPB-32443,2021-01-04,2021-10-12,기타 ,1079.0,127128.71
SPB-30580,2021-01-04,2021-07-06,체인,59.0,8288.02
SPB-30580,2021-01-04,2021-07-06,체인,59.0,8288.02
SPB-30580,2021-01-04,2021-06-16,페달,12119.0,1454255.24
SPB-30580,2021-01-04,2021-06-16,페달,12119.0,1454255.24
